record_date,department,process_name,throughput,cycle_time_min,error_count,sla_target_min,sla_met,error_rate
2024-01-03,IT,Deployment Pipeline,53,208.5,0,120.0,0,0.0
2024-01-03,Logistics,Shipment Tracking,51,1544.67,2,1440.0,0,0.0392
2024-01-03,Logistics,Customs Clearance,57,2781.37,1,2880.0,1,0.0175
2024-01-03,Logistics,Route Optimization,58,33.6,0,60.0,1,0.0
2024-01-03,Risk,Credit Assessment,45,131.96,2,180.0,1,0.0444
2024-01-03,Risk,Fraud Review,51,14.88,0,30.0,1,0.0
2024-01-03,Risk,Compliance Check,56,506.27,0,720.0,1,0.0
2024-01-03,Compliance,Regulatory Reporting,34,426.61,0,480.0,1,0.0
2024-01-03,Compliance,AML Screening,39,57.3,1,60.0,1,0.0256
2024-01-03,Compliance,Policy Review,49,1596.4,0,1440.0,0,0.0
2024-01-04,Operations,Order Fulfillment,48,511.03,2,480.0,0,0.0417
2024-01-04,Operations,Inventory Replenishment,42,182.28,2,240.0,1,0.0476
2024-01-04,Operations,Quality Check,48,48.73,1,60.0,1,0.0208
2024-01-04,Finance,Invoice Processing,65,102.74,0,120.0,1,0.0
2024-01-04,Finance,Budget Reconciliation,46,575.05,0,360.0,0,0.0
2024-01-04,Finance,Expense Audit,58,78.43,4,90.0,1,0.069
2024-01-04,HR,Onboarding,43,1904.88,2,2880.0,1,0.0465
2024-01-04,HR,Payroll Processing,48,109.13,1,120.0,1,0.0208
2024-01-04,HR,Benefits Enrollment,56,182.29,0,240.0,1,0.0
2024-01-04,IT,Incident Resolution,61,166.89,2,240.0,1,0.0328
2024-01-04,IT,Change Management,61,475.12,2,480.0,1,0.0328
2024-01-04,IT,Deployment Pipeline,52,97.85,0,120.0,1,0.0
2024-01-04,Logistics,Shipment Tracking,54,1023.33,2,1440.0,1,0.037
2024-01-04,Logistics,Customs Clearance,50,1100.15,1,2880.0,1,0.02
2024-01-04,Logistics,Route Optimization,40,69.25,2,60.0,0,0.05
2024-01-04,Risk,Credit Assessment,38,127.04,0,180.0,1,0.0
2024-01-04,Risk,Fraud Review,48,73.3,3,30.0,0,0.0625
2024-01-04,Risk,Compliance Check,38,282.66,1,720.0,1,0.0263
2024-01-04,Compliance,Regulatory Reporting,50,534.72,1,480.0,0,0.02
2024-01-04,Compliance,AML Screening,40,63.25,2,60.0,0,0.05
2024-01-04,Compliance,Policy Review,46,1374.01,0,1440.0,1,0.0
2024-01-05,Operations,Order Fulfillment,70,390.69,1,480.0,1,0.0143
2024-01-05,Operations,Inventory Replenishment,51,239.21,1,240.0,1,0.0196
2024-01-05,Operations,Quality Check,53,46.67,1,60.0,1,0.0189
2024-01-05,Finance,Invoice Processing,43,119.43,0,120.0,1,0.0
2024-01-05,Finance,Budget Reconciliation,52,312.61,0,360.0,1,0.0
2024-01-05,Finance,Expense Audit,58,105.77,0,90.0,0,0.0
2024-01-05,HR,Onboarding,62,1543.55,2,2880.0,1,0.0323
2024-01-05,HR,Payroll Processing,42,139.96,0,120.0,0,0.0
2024-01-05,HR,Benefits Enrollment,59,115.47,0,240.0,1,0.0
2024-01-05,IT,Incident Resolution,52,163.23,2,240.0,1,0.0385
2024-01-05,IT,Change Management,49,395.55,0,480.0,1,0.0
2024-01-05,IT,Deployment Pipeline,54,108.35,1,120.0,1,0.0185
2024-01-05,Logistics,Shipment Tracking,54,1185.08,2,1440.0,1,0.037
2024-01-05,Logistics,Customs Clearance,60,3197.53,0,2880.0,0,0.0
2024-01-05,Logistics,Route Optimization,53,42.8,0,60.0,1,0.0
2024-01-05,Risk,Credit Assessment,47,131.68,1,180.0,1,0.0213
2024-01-05,Risk,Fraud Review,62,33.01,1,30.0,0,0.0161
2024-01-05,Risk,Compliance Check,50,586.67,2,720.0,1,0.04
2024-01-05,Compliance,Regulatory Reporting,47,372.2,0,480.0,1,0.0
2024-01-05,Compliance,AML Screening,41,47.1,0,60.0,1,0.0
2024-01-05,Compliance,Policy Review,53,1367.24,1,1440.0,1,0.0189
2024-01-06,Operations,Order Fulfillment,14,764.55,0,480.0,0,0.0
2024-01-06,Operations,Inventory Replenishment,14,186.86,0,240.0,1,0.0
2024-01-06,Operations,Quality Check,16,35.58,1,60.0,1,0.0625
2024-01-06,Finance,Invoice Processing,19,116.43,1,120.0,1,0.0526
2024-01-06,Finance,Budget Reconciliation,14,243.33,0,360.0,1,0.0
2024-01-06,Finance,Expense Audit,17,101.61,0,90.0,0,0.0
2024-01-06,HR,Onboarding,15,2160.56,1,2880.0,1,0.0667
2024-01-06,HR,Payroll Processing,17,132.57,0,120.0,0,0.0
2024-01-06,HR,Benefits Enrollment,15,220.22,0,240.0,1,0.0
2024-01-06,IT,Incident Resolution,15,154.89,1,240.0,1,0.0667
2024-01-06,IT,Change Management,18,350.32,0,480.0,1,0.0
2024-01-06,IT,Deployment Pipeline,13,132.55,0,120.0,0,0.0
2024-01-06,Logistics,Shipment Tracking,13,1307.21,0,1440.0,1,0.0
2024-01-06,Logistics,Customs Clearance,18,1498.43,0,2880.0,1,0.0
2024-01-06,Logistics,Route Optimization,14,54.76,0,60.0,1,0.0
2024-01-06,Risk,Credit Assessment,14,227.08,0,180.0,0,0.0
2024-01-06,Risk,Fraud Review,15,19.01,2,30.0,1,0.1333
2024-01-06,Risk,Compliance Check,17,480.58,0,720.0,1,0.0
2024-01-06,Compliance,Regulatory Reporting,16,438.78,0,480.0,1,0.0
2024-01-06,Compliance,AML Screening,13,55.66,0,60.0,1,0.0
2024-01-06,Compliance,Policy Review,16,673.48,0,1440.0,1,0.0
2024-01-07,Operations,Order Fulfillment,15,480.6,0,480.0,0,0.0
2024-01-07,Operations,Inventory Replenishment,18,248.62,0,240.0,0,0.0
2024-01-07,Operations,Quality Check,16,54.92,2,60.0,1,0.125
2024-01-07,Finance,Invoice Processing,14,91.13,1,120.0,1,0.0714
2024-01-07,Finance,Budget Reconciliation,19,245.19,0,360.0,1,0.0
2024-01-07,Finance,Expense Audit,14,82.59,1,90.0,1,0.0714
2024-01-07,HR,Onboarding,16,2995.9,0,2880.0,0,0.0
2024-01-07,HR,Payroll Processing,16,86.21,0,120.0,1,0.0
2024-01-07,HR,Benefits Enrollment,18,207.69,0,240.0,1,0.0
2024-01-07,IT,Incident Resolution,17,181.48,1,240.0,1,0.0588
2024-01-07,IT,Change Management,21,300.02,1,480.0,1,0.0476
2024-01-07,IT,Deployment Pipeline,17,86.39,1,120.0,1,0.0588
2024-01-07,Logistics,Shipment Tracking,15,1586.81,1,1440.0,0,0.0667
2024-01-07,Logistics,Customs Clearance,19,2535.57,1,2880.0,1,0.0526
2024-01-07,Logistics,Route Optimization,16,42.87,1,60.0,1,0.0625
2024-01-07,Risk,Credit Assessment,18,124.1,0,180.0,1,0.0
2024-01-07,Risk,Fraud Review,15,13.33,0,30.0,1,0.0
2024-01-07,Risk,Compliance Check,22,791.43,0,720.0,0,0.0
2024-01-07,Compliance,Regulatory Reporting,17,394.5,2,480.0,1,0.1176
2024-01-07,Compliance,AML Screening,14,56.71,1,60.0,1,0.0714
2024-01-07,Compliance,Policy Review,21,1883.14,0,1440.0,0,0.0
2024-01-08,Operations,Order Fulfillment,36,434.3,1,480.0,1,0.0278
2024-01-08,Operations,Inventory Replenishment,47,231.51,0,240.0,1,0.0
2024-01-08,Operations,Quality Check,48,48.88,1,60.0,1,0.0208
2024-01-08,Finance,Invoice Processing,50,95.84,2,120.0,1,0.04
2024-01-08,Finance,Budget Reconciliation,53,193.02,0,360.0,1,0.0
2024-01-08,Finance,Expense Audit,54,57.62,2,90.0,1,0.037
2024-01-08,HR,Onboarding,44,2209.23,0,2880.0,1,0.0
2024-01-08,HR,Payroll Processing,50,129.33,1,120.0,0,0.02
2024-01-08,HR,Benefits Enrollment,52,64.35,0,240.0,1,0.0
2024-01-08,IT,Incident Resolution,48,138.69,0,240.0,1,0.0
2024-01-08,IT,Change Management,42,552.22,1,480.0,0,0.0238
2024-01-08,IT,Deployment Pipeline,45,199.57,0,120.0,0,0.0
2024-01-08,Logistics,Shipment Tracking,54,1114.46,0,1440.0,1,0.0
2024-01-08,Logistics,Customs Clearance,45,2439.16,0,2880.0,1,0.0
2024-01-08,Logistics,Route Optimization,54,51.03,0,60.0,1,0.0
2024-01-08,Risk,Credit Assessment,62,83.89,2,180.0,1,0.0323
2024-01-08,Risk,Fraud Review,46,34.59,1,30.0,0,0.0217
2024-01-08,Risk,Compliance Check,53,276.2,0,720.0,1,0.0
2024-01-08,Compliance,Regulatory Reporting,42,546.86,2,480.0,0,0.0476
2024-01-08,Compliance,AML Screening,49,51.69,1,60.0,1,0.0204
2024-01-08,Compliance,Policy Review,42,659.47,2,1440.0,1,0.0476
2024-01-09,Operations,Order Fulfillment,46,662.78,1,480.0,0,0.0217
2024-01-09,Operations,Inventory Replenishment,59,218.49,0,240.0,1,0.0
2024-01-09,Operations,Quality Check,42,51.07,1,60.0,1,0.0238
2024-01-09,Finance,Invoice Processing,49,119.58,1,120.0,1,0.0204
2024-01-09,Finance,Budget Reconciliation,43,301.45,0,360.0,1,0.0
2024-01-09,Finance,Expense Audit,49,58.4,0,90.0,1,0.0
2024-01-09,HR,Onboarding,56,1757.15,3,2880.0,1,0.0536
2024-01-09,HR,Payroll Processing,53,159.18,1,120.0,0,0.0189
2024-01-09,HR,Benefits Enrollment,47,190.32,1,240.0,1,0.0213
2024-01-09,IT,Incident Resolution,45,277.0,2,240.0,0,0.0444
2024-01-09,IT,Change Management,53,257.34,2,480.0,1,0.0377
2024-01-09,IT,Deployment Pipeline,58,90.57,2,120.0,1,0.0345
2024-01-09,Logistics,Shipment Tracking,51,2883.25,0,1440.0,0,0.0
2024-01-09,Logistics,Customs Clearance,55,2381.1,5,2880.0,1,0.0909
2024-01-09,Logistics,Route Optimization,47,106.92,0,60.0,0,0.0
2024-01-09,Risk,Credit Assessment,41,127.36,1,180.0,1,0.0244
2024-01-09,Risk,Fraud Review,56,26.48,1,30.0,1,0.0179
2024-01-09,Risk,Compliance Check,54,298.13,1,720.0,1,0.0185
2024-01-09,Compliance,Regulatory Reporting,52,501.42,1,480.0,0,0.0192
2024-01-09,Compliance,AML Screening,54,39.8,2,60.0,1,0.037
2024-01-09,Compliance,Policy Review,49,1030.99,0,1440.0,1,0.0
2024-01-10,Operations,Order Fulfillment,46,356.95,0,480.0,1,0.0
2024-01-10,Operations,Inventory Replenishment,33,190.34,0,240.0,1,0.0
2024-01-10,Operations,Quality Check,55,50.81,2,60.0,1,0.0364
2024-01-10,Finance,Invoice Processing,49,94.81,1,120.0,1,0.0204
2024-01-10,Finance,Budget Reconciliation,66,336.59,2,360.0,1,0.0303
2024-01-10,Finance,Expense Audit,43,82.0,0,90.0,1,0.0
2024-01-10,HR,Onboarding,49,1945.23,1,2880.0,1,0.0204
2024-01-10,HR,Payroll Processing,59,100.87,2,120.0,1,0.0339
2024-01-10,HR,Benefits Enrollment,61,119.24,0,240.0,1,0.0
2024-01-10,IT,Incident Resolution,60,223.61,0,240.0,1,0.0
2024-01-10,IT,Change Management,49,576.98,0,480.0,0,0.0
2024-01-10,IT,Deployment Pipeline,56,83.58,2,120.0,1,0.0357
2024-01-10,Logistics,Shipment Tracking,53,1216.45,1,1440.0,1,0.0189
2024-01-10,Logistics,Customs Clearance,52,2442.25,3,2880.0,1,0.0577
2024-01-10,Logistics,Route Optimization,59,51.67,3,60.0,1,0.0508
2024-01-10,Risk,Credit Assessment,42,119.18,2,180.0,1,0.0476
2024-01-10,Risk,Fraud Review,54,26.97,2,30.0,1,0.037
2024-01-10,Risk,Compliance Check,41,653.48,0,720.0,1,0.0
2024-01-10,Compliance,Regulatory Reporting,55,388.6,0,480.0,1,0.0
2024-01-10,Compliance,AML Screening,56,26.28,1,60.0,1,0.0179
2024-01-10,Compliance,Policy Review,42,1429.92,0,1440.0,1,0.0
2024-01-11,Operations,Order Fulfillment,51,330.7,0,480.0,1,0.0
2024-01-11,Operations,Inventory Replenishment,50,282.3,2,240.0,0,0.04
2024-01-11,Operations,Quality Check,39,32.64,1,60.0,1,0.0256
2024-01-11,Finance,Invoice Processing,50,116.94,1,120.0,1,0.02
2024-01-11,Finance,Budget Reconciliation,49,284.72,1,360.0,1,0.0204
2024-01-11,Finance,Expense Audit,45,76.38,1,90.0,1,0.0222
2024-01-11,HR,Onboarding,60,2501.41,4,2880.0,1,0.0667
2024-01-11,HR,Payroll Processing,54,106.96,1,120.0,1,0.0185
2024-01-11,HR,Benefits Enrollment,42,126.8,1,240.0,1,0.0238
2024-01-11,IT,Incident Resolution,53,176.83,1,240.0,1,0.0189
2024-01-11,IT,Change Management,50,367.39,1,480.0,1,0.02
2024-01-11,IT,Deployment Pipeline,47,79.48,2,120.0,1,0.0426
2024-01-11,Logistics,Shipment Tracking,51,1150.96,2,1440.0,1,0.0392
2024-01-11,Logistics,Customs Clearance,52,1636.78,0,2880.0,1,0.0
2024-01-11,Logistics,Route Optimization,31,35.98,1,60.0,1,0.0323
2024-01-11,Risk,Credit Assessment,58,133.88,0,180.0,1,0.0
2024-01-11,Risk,Fraud Review,41,34.87,3,30.0,0,0.0732
2024-01-11,Risk,Compliance Check,59,627.54,3,720.0,1,0.0508
2024-01-11,Compliance,Regulatory Reporting,54,348.53,0,480.0,1,0.0
2024-01-11,Compliance,AML Screening,46,50.45,1,60.0,1,0.0217
2024-01-11,Compliance,Policy Review,44,1144.99,1,1440.0,1,0.0227
2024-01-12,Operations,Order Fulfillment,44,589.66,0,480.0,0,0.0
2024-01-12,Operations,Inventory Replenishment,51,236.78,1,240.0,1,0.0196
2024-01-12,Operations,Quality Check,49,58.48,0,60.0,1,0.0
2024-01-12,Finance,Invoice Processing,61,136.41,3,120.0,0,0.0492
2024-01-12,Finance,Budget Reconciliation,46,254.96,1,360.0,1,0.0217
2024-01-12,Finance,Expense Audit,54,60.74,2,90.0,1,0.037
2024-01-12,HR,Onboarding,44,2531.98,1,2880.0,1,0.0227
2024-01-12,HR,Payroll Processing,61,42.37,1,120.0,1,0.0164
2024-01-12,HR,Benefits Enrollment,49,203.29,0,240.0,1,0.0
2024-01-12,IT,Incident Resolution,55,169.55,2,240.0,1,0.0364
2024-01-12,IT,Change Management,38,417.26,1,480.0,1,0.0263
2024-01-12,IT,Deployment Pipeline,59,111.57,1,120.0,1,0.0169
2024-01-12,Logistics,Shipment Tracking,43,751.11,2,1440.0,1,0.0465
2024-01-12,Logistics,Customs Clearance,53,2154.79,0,2880.0,1,0.0
2024-01-12,Logistics,Route Optimization,36,45.64,1,60.0,1,0.0278
2024-01-12,Risk,Credit Assessment,42,137.16,1,180.0,1,0.0238
2024-01-12,Risk,Fraud Review,71,59.15,3,30.0,0,0.0423
2024-01-12,Risk,Compliance Check,52,450.56,0,720.0,1,0.0
2024-01-12,Compliance,Regulatory Reporting,47,422.73,0,480.0,1,0.0
2024-01-12,Compliance,AML Screening,40,60.88,0,60.0,0,0.0
2024-01-12,Compliance,Policy Review,56,1104.78,2,1440.0,1,0.0357
2024-01-13,Operations,Order Fulfillment,18,340.9,2,480.0,1,0.1111
2024-01-13,Operations,Inventory Replenishment,15,195.24,0,240.0,1,0.0
2024-01-13,Operations,Quality Check,18,60.06,1,60.0,0,0.0556
2024-01-13,Finance,Invoice Processing,16,89.94,1,120.0,1,0.0625
2024-01-13,Finance,Budget Reconciliation,19,380.86,0,360.0,0,0.0
2024-01-13,Finance,Expense Audit,17,130.66,0,90.0,0,0.0
2024-01-13,HR,Onboarding,16,1794.15,0,2880.0,1,0.0
2024-01-13,HR,Payroll Processing,15,133.26,0,120.0,0,0.0
2024-01-13,HR,Benefits Enrollment,12,244.3,0,240.0,0,0.0
2024-01-13,IT,Incident Resolution,16,265.63,0,240.0,0,0.0
2024-01-13,IT,Change Management,17,272.95,0,480.0,1,0.0
2024-01-13,IT,Deployment Pipeline,17,59.21,1,120.0,1,0.0588
2024-01-13,Logistics,Shipment Tracking,19,1370.57,0,1440.0,1,0.0
2024-01-13,Logistics,Customs Clearance,21,2465.97,1,2880.0,1,0.0476
2024-01-13,Logistics,Route Optimization,13,37.55,0,60.0,1,0.0
2024-01-13,Risk,Credit Assessment,19,108.57,0,180.0,1,0.0
2024-01-13,Risk,Fraud Review,18,20.38,0,30.0,1,0.0
2024-01-13,Risk,Compliance Check,14,347.5,0,720.0,1,0.0
2024-01-13,Compliance,Regulatory Reporting,17,399.41,0,480.0,1,0.0
2024-01-13,Compliance,AML Screening,19,36.75,0,60.0,1,0.0
2024-01-13,Compliance,Policy Review,18,1070.22,0,1440.0,1,0.0
2024-01-14,Operations,Order Fulfillment,18,422.51,2,480.0,1,0.1111
2024-01-14,Operations,Inventory Replenishment,15,230.54,0,240.0,1,0.0
2024-01-14,Operations,Quality Check,18,41.27,1,60.0,1,0.0556
2024-01-14,Finance,Invoice Processing,17,111.21,0,120.0,1,0.0
2024-01-14,Finance,Budget Reconciliation,13,317.79,1,360.0,1,0.0769
2024-01-14,Finance,Expense Audit,17,98.27,0,90.0,0,0.0
2024-01-14,HR,Onboarding,18,1333.26,0,2880.0,1,0.0
2024-01-14,HR,Payroll Processing,18,190.28,0,120.0,0,0.0
2024-01-14,HR,Benefits Enrollment,15,166.36,0,240.0,1,0.0
2024-01-14,IT,Incident Resolution,20,139.16,0,240.0,1,0.0
2024-01-14,IT,Change Management,12,315.72,0,480.0,1,0.0
2024-01-14,IT,Deployment Pipeline,19,120.75,1,120.0,0,0.0526
2024-01-14,Logistics,Shipment Tracking,16,1183.26,2,1440.0,1,0.125
2024-01-14,Logistics,Customs Clearance,17,1897.91,0,2880.0,1,0.0
2024-01-14,Logistics,Route Optimization,23,47.33,1,60.0,1,0.0435
2024-01-14,Risk,Credit Assessment,17,201.0,0,180.0,0,0.0
2024-01-14,Risk,Fraud Review,18,22.16,1,30.0,1,0.0556
2024-01-14,Risk,Compliance Check,16,750.69,0,720.0,0,0.0
2024-01-14,Compliance,Regulatory Reporting,18,397.6,1,480.0,1,0.0556
2024-01-14,Compliance,AML Screening,19,35.15,0,60.0,1,0.0
2024-01-14,Compliance,Policy Review,17,895.75,0,1440.0,1,0.0
2024-01-15,Operations,Order Fulfillment,51,464.29,3,480.0,1,0.0588
2024-01-15,Operations,Inventory Replenishment,65,193.5,3,240.0,1,0.0462
2024-01-15,Operations,Quality Check,59,41.91,1,60.0,1,0.0169
2024-01-15,Finance,Invoice Processing,56,90.33,3,120.0,1,0.0536
2024-01-15,Finance,Budget Reconciliation,51,241.17,1,360.0,1,0.0196
2024-01-15,Finance,Expense Audit,43,81.53,0,90.0,1,0.0
2024-01-15,HR,Onboarding,72,2341.14,1,2880.0,1,0.0139
2024-01-15,HR,Payroll Processing,55,48.59,2,120.0,1,0.0364
2024-01-15,HR,Benefits Enrollment,51,164.94,0,240.0,1,0.0
2024-01-15,IT,Incident Resolution,47,172.28,1,240.0,1,0.0213
2024-01-15,IT,Change Management,59,475.16,1,480.0,1,0.0169
2024-01-15,IT,Deployment Pipeline,51,60.36,1,120.0,1,0.0196
2024-01-15,Logistics,Shipment Tracking,60,1844.08,0,1440.0,0,0.0
2024-01-15,Logistics,Customs Clearance,46,811.56,0,2880.0,1,0.0
2024-01-15,Logistics,Route Optimization,52,47.82,0,60.0,1,0.0
2024-01-15,Risk,Credit Assessment,53,164.85,1,180.0,1,0.0189
2024-01-15,Risk,Fraud Review,51,31.01,1,30.0,0,0.0196
2024-01-15,Risk,Compliance Check,49,451.74,4,720.0,1,0.0816
2024-01-15,Compliance,Regulatory Reporting,56,449.08,0,480.0,1,0.0
2024-01-15,Compliance,AML Screening,63,42.15,3,60.0,1,0.0476
2024-01-15,Compliance,Policy Review,54,808.91,2,1440.0,1,0.037
2024-01-16,Operations,Order Fulfillment,34,390.02,1,480.0,1,0.0294
2024-01-16,Operations,Inventory Replenishment,39,127.34,0,240.0,1,0.0
2024-01-16,Operations,Quality Check,58,36.34,0,60.0,1,0.0
2024-01-16,Finance,Invoice Processing,44,124.46,0,120.0,0,0.0
2024-01-16,Finance,Budget Reconciliation,73,339.76,2,360.0,1,0.0274
2024-01-16,Finance,Expense Audit,45,95.91,1,90.0,0,0.0222
2024-01-16,HR,Onboarding,59,2624.39,3,2880.0,1,0.0508
2024-01-16,HR,Payroll Processing,59,87.24,1,120.0,1,0.0169
2024-01-16,HR,Benefits Enrollment,49,151.72,1,240.0,1,0.0204
2024-01-16,IT,Incident Resolution,67,181.38,2,240.0,1,0.0299
2024-01-16,IT,Change Management,46,357.43,1,480.0,1,0.0217
2024-01-16,IT,Deployment Pipeline,57,71.07,3,120.0,1,0.0526
2024-01-16,Logistics,Shipment Tracking,44,1296.84,2,1440.0,1,0.0455
2024-01-16,Logistics,Customs Clearance,52,2481.89,1,2880.0,1,0.0192
2024-01-16,Logistics,Route Optimization,47,68.43,2,60.0,0,0.0426
2024-01-16,Risk,Credit Assessment,58,134.98,0,180.0,1,0.0
2024-01-16,Risk,Fraud Review,41,23.88,1,30.0,1,0.0244
2024-01-16,Risk,Compliance Check,53,403.79,1,720.0,1,0.0189
2024-01-16,Compliance,Regulatory Reporting,53,426.68,1,480.0,1,0.0189
2024-01-16,Compliance,AML Screening,57,46.55,1,60.0,1,0.0175
2024-01-16,Compliance,Policy Review,48,1272.83,1,1440.0,1,0.0208
2024-01-17,Operations,Order Fulfillment,51,405.57,1,480.0,1,0.0196
2024-01-17,Operations,Inventory Replenishment,56,236.76,1,240.0,1,0.0179
2024-01-17,Operations,Quality Check,59,41.38,1,60.0,1,0.0169
2024-01-17,Finance,Invoice Processing,54,157.4,1,120.0,0,0.0185
2024-01-17,Finance,Budget Reconciliation,56,344.04,1,360.0,1,0.0179
2024-01-17,Finance,Expense Audit,37,62.08,2,90.0,1,0.0541
2024-01-17,HR,Onboarding,52,2055.29,1,2880.0,1,0.0192
2024-01-17,HR,Payroll Processing,46,74.73,4,120.0,1,0.087
2024-01-17,HR,Benefits Enrollment,55,181.13,1,240.0,1,0.0182
2024-01-17,IT,Incident Resolution,53,145.95,0,240.0,1,0.0
2024-01-17,IT,Change Management,49,333.33,1,480.0,1,0.0204
2024-01-17,IT,Deployment Pipeline,67,114.51,3,120.0,1,0.0448
2024-01-17,Logistics,Shipment Tracking,59,831.91,0,1440.0,1,0.0
2024-01-17,Logistics,Customs Clearance,57,2274.25,1,2880.0,1,0.0175
2024-01-17,Logistics,Route Optimization,58,36.02,3,60.0,1,0.0517
2024-01-17,Risk,Credit Assessment,37,154.86,0,180.0,1,0.0
2024-01-17,Risk,Fraud Review,46,22.18,1,30.0,1,0.0217
2024-01-17,Risk,Compliance Check,52,801.81,0,720.0,0,0.0
2024-01-17,Compliance,Regulatory Reporting,63,151.27,2,480.0,1,0.0317
2024-01-17,Compliance,AML Screening,53,58.61,0,60.0,1,0.0
2024-01-17,Compliance,Policy Review,50,1380.75,0,1440.0,1,0.0
2024-01-18,Operations,Order Fulfillment,53,263.59,2,480.0,1,0.0377
2024-01-18,Operations,Inventory Replenishment,42,156.74,2,240.0,1,0.0476
2024-01-18,Operations,Quality Check,42,38.28,1,60.0,1,0.0238
2024-01-18,Finance,Invoice Processing,57,94.02,1,120.0,1,0.0175
2024-01-18,Finance,Budget Reconciliation,56,228.31,1,360.0,1,0.0179
2024-01-18,Finance,Expense Audit,53,97.15,1,90.0,0,0.0189
2024-01-18,HR,Onboarding,59,2336.84,0,2880.0,1,0.0
2024-01-18,HR,Payroll Processing,44,98.94,0,120.0,1,0.0
2024-01-18,HR,Benefits Enrollment,62,269.98,3,240.0,0,0.0484
2024-01-18,IT,Incident Resolution,38,196.0,1,240.0,1,0.0263
2024-01-18,IT,Change Management,55,468.6,1,480.0,1,0.0182
